name,record,wins,losses,draws,height,weight,reach,stance,dob,strikes_landed_per_min,striking_accuracy,strikes_absorbed_per_min,striking_defense,takedown_average,takedown_accuracy,takedown_defense,submission_average,fighter_url,height_inches,weight_lbs,reach_inches,dob_parsed,total_fights,win_percentage
Alexander Volkov,39-11-0,39.0,11.0,0.0,"6' 7""",261 lbs.,"80""",Orthodox,"Oct 24, 1988",4.78,0.0,2.86,0.53,0.0,0.66,0.68,0.0,http://ufcstats.com/fighter-details/279566840aa55bf2,79.0,261.0,80.0,1988-10-24,50.0,0.78
Kyoji Horiguchi,35-5-0 (1 NC),35.0,5.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/98aa60cf58071fd6,0.0,0.0,0.0,,40.0,0.875
Rodrigo Nascimento,11-3-0 (1 NC),11.0,3.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/d31a5546c0e9b213,0.0,0.0,0.0,,14.0,0.7857142857142857
Bruna Brasil,11-5-1,11.0,5.0,1.0,"5' 6""",115 lbs.,"65""",Orthodox,"Sep 07, 1993",2.66,0.0,3.82,0.52,0.0,0.64,0.53,0.0,http://ufcstats.com/fighter-details/7138a15258dabf20,66.0,115.0,65.0,1993-09-07,17.0,0.6470588235294118
Ramazan Temirov,19-3-0,19.0,3.0,0.0,"5' 4""",125 lbs.,"63""",Orthodox,"Jan 31, 1997",4.37,0.0,3.93,0.59,0.0,0.5,0.1,0.0,http://ufcstats.com/fighter-details/7d0a1968b38ca439,64.0,125.0,63.0,1997-01-31,22.0,0.8636363636363636
Sean Sharaf,4-1-0,4.0,1.0,0.0,"6' 3""",252 lbs.,"77""",Orthodox,"Jul 11, 1993",7.31,0.0,9.79,0.44,0.0,0.12,0.0,0.0,http://ufcstats.com/fighter-details/0f3a990526c5e706,75.0,252.0,77.0,1993-07-11,5.0,0.8
Sam Hughes,11-6-0,11.0,6.0,0.0,"5' 5""",115 lbs.,"64""",Orthodox,"Jun 28, 1992",4.34,0.0,4.44,0.58,0.0,0.35,0.6,0.0,http://ufcstats.com/fighter-details/e94085e821bd81de,65.0,115.0,64.0,1992-06-28,17.0,0.6470588235294118
Rafael Estevam,14-0-0,14.0,0.0,0.0,"5' 8""",125 lbs.,"69""",Orthodox,"Aug 10, 1996",2.1,0.0,2.59,0.47,0.0,0.38,0.66,0.0,http://ufcstats.com/fighter-details/83455a9d17f57dae,68.0,125.0,69.0,1996-08-10,14.0,1.0
Edmen Shahbazyan,16-5-0,16.0,5.0,0.0,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1997",3.8,0.0,3.6,0.49,0.0,0.37,0.66,0.0,http://ufcstats.com/fighter-details/4144798612ef96e5,74.0,185.0,75.0,1997-11-20,21.0,0.7619047619047619
DongHun Choi,9-0-0,9.0,0.0,0.0,"5' 5""",125 lbs.,"66""",Switch,"Jan 02, 1999",4.54,0.0,3.13,0.58,0.0,0.14,0.81,0.0,http://ufcstats.com/fighter-details/3be16d817b36098b,65.0,125.0,66.0,1999-01-02,9.0,1.0
Geoff Neal,16-7-0,16.0,7.0,0.0,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990",5.05,0.0,5.48,0.57,0.0,0.45,0.87,0.0,http://ufcstats.com/fighter-details/b997be68943010fc,71.0,170.0,75.0,1990-08-28,23.0,0.6956521739130435
Phil Rowe,11-6-0,11.0,6.0,0.0,"6' 3""",170 lbs.,"80""",Orthodox,"Jul 18, 1990",3.5,0.0,4.12,0.51,0.0,0.36,0.5,0.0,http://ufcstats.com/fighter-details/8e382b585a92affe,75.0,170.0,80.0,1990-07-18,17.0,0.6470588235294118
Taiyilake Nueraji,12-1-0 (1 NC),12.0,1.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/7498b3ac79a3b948,0.0,0.0,0.0,,13.0,0.9230769230769231
Ihor Potieria,20-8-0,20.0,8.0,0.0,"6' 3""",185 lbs.,"75""",Southpaw,"May 29, 1996",4.44,0.0,4.96,0.5,0.0,0.18,0.66,0.0,http://ufcstats.com/fighter-details/260bd4cef10b033f,75.0,185.0,75.0,1996-05-29,28.0,0.7142857142857143
Hailey Cowan,7-4-0,7.0,4.0,0.0,"5' 8""",135 lbs.,"67""",Southpaw,"Feb 12, 1992",2.5,0.0,2.79,0.33,0.0,0.36,0.8,0.0,http://ufcstats.com/fighter-details/3c26c420584d912d,68.0,135.0,67.0,1992-02-12,11.0,0.6363636363636364
Cody Garbrandt,14-7-0,14.0,7.0,0.0,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",2.88,0.0,3.64,0.59,0.0,0.27,0.83,0.0,http://ufcstats.com/fighter-details/d8c7c61b176e3994,68.0,135.0,65.0,1991-07-07,21.0,0.6666666666666666
Kayla Harrison,19-1-0,19.0,1.0,0.0,"5' 8""",135 lbs.,"66""",Southpaw,"Jul 02, 1990",4.29,0.0,1.1,0.66,0.0,0.37,0.1,0.0,http://ufcstats.com/fighter-details/1af1170ed937cba7,68.0,135.0,66.0,1990-07-02,20.0,0.95
Chris Duncan,14-2-0,14.0,2.0,0.0,"5' 10""",155 lbs.,"71""",Orthodox,"May 10, 1993",4.64,0.0,4.53,0.51,0.0,0.42,0.5,0.0,http://ufcstats.com/fighter-details/fd406a32a6fb3a29,70.0,155.0,71.0,1993-05-10,16.0,0.875
Manuel Torres,16-3-0,16.0,3.0,0.0,"5' 10""",155 lbs.,"73""",Switch,"Mar 25, 1995",7.87,0.0,4.2,0.52,0.0,0.66,0.88,0.0,http://ufcstats.com/fighter-details/2e7878927067fdca,70.0,155.0,73.0,1995-03-25,19.0,0.8421052631578947
Ian Machado Garry,17-1-0,17.0,1.0,0.0,"6' 3""",170 lbs.,"74""",Orthodox,"Nov 17, 1997",4.78,0.0,2.86,0.52,0.0,0.31,0.8,0.0,http://ufcstats.com/fighter-details/442c9011034ae1fd,75.0,170.0,74.0,1997-11-17,18.0,0.9444444444444444
Damir Hadzovic,14-8-0,14.0,8.0,0.0,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 08, 1986",3.34,0.0,3.74,0.59,0.0,0.54,0.34,0.0,http://ufcstats.com/fighter-details/38c626ca912c7bac,69.0,155.0,70.0,1986-08-08,22.0,0.6363636363636364
Alvin Hines,7-1-0,7.0,1.0,0.0,"6' 2""",265 lbs.,"74""",Orthodox,"Oct 20, 1991",5.47,0.0,7.47,0.38,0.0,0.1,0.0,0.0,http://ufcstats.com/fighter-details/ab2a4b5e04dc5fe9,74.0,265.0,74.0,1991-10-20,8.0,0.875
Yan Xiaonan,19-5-0 (1 NC),19.0,5.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c41d426cc7326d1b,0.0,0.0,0.0,,24.0,0.7916666666666666
Trey Waters,9-2-0,9.0,2.0,0.0,"6' 5""",170 lbs.,"77""",Orthodox,"Feb 21, 1995",6.39,0.0,5.83,0.55,0.0,0.33,0.85,0.0,http://ufcstats.com/fighter-details/31dbfbe4e7a6727c,77.0,170.0,77.0,1995-02-21,11.0,0.8181818181818182
Joshua Van,15-2-0,15.0,2.0,0.0,"5' 5""",125 lbs.,"65""",Orthodox,"Oct 10, 2001",8.86,0.0,6.36,0.57,0.0,0.63,0.81,0.0,http://ufcstats.com/fighter-details/17e97649403ba428,65.0,125.0,65.0,2001-10-10,17.0,0.8823529411764706
Djorden Santos,11-2-0,11.0,2.0,0.0,"6' 0""",185 lbs.,"75""",Orthodox,"Aug 01, 1997",7.0,0.0,5.98,0.48,0.0,0.33,0.86,0.0,http://ufcstats.com/fighter-details/312f7d7b2b2f7de4,72.0,185.0,75.0,1997-08-01,13.0,0.8461538461538461
Muslim Salikhov,22-6-0,22.0,6.0,0.0,"5' 11""",170 lbs.,"70""",Orthodox,"Jun 09, 1984",3.37,0.0,2.96,0.62,0.0,0.32,0.72,0.0,http://ufcstats.com/fighter-details/447f9858ae78f921,71.0,170.0,70.0,1984-06-09,28.0,0.7857142857142857
Payton Talbott,10-1-0,10.0,1.0,0.0,"5' 10""",135 lbs.,"70""",Switch,"Sep 09, 1998",6.05,0.0,3.26,0.46,0.0,0.25,0.76,0.0,http://ufcstats.com/fighter-details/6e743a33d56bdaa4,70.0,135.0,70.0,1998-09-09,11.0,0.9090909090909091
Andrey Pulyaev,10-3-0,10.0,3.0,0.0,"6' 4""",185 lbs.,"78""",Southpaw,"Sep 10, 1997",3.81,0.0,3.51,0.48,0.0,0.16,0.64,0.0,http://ufcstats.com/fighter-details/22e07d3da1aa3475,76.0,185.0,78.0,1997-09-10,13.0,0.7692307692307693
Aaron Pico,13-5-0,13.0,5.0,0.0,"5' 8""",145 lbs.,"70""",Orthodox,"Sep 23, 1996",3.88,0.0,2.39,0.5,0.0,0.66,0.0,0.0,http://ufcstats.com/fighter-details/5537efc6e496dd84,68.0,145.0,70.0,1996-09-23,18.0,0.7222222222222222
Evan Elder,10-2-0,10.0,2.0,0.0,"5' 10""",155 lbs.,"72""",Switch,"Apr 11, 1997",5.66,0.0,4.94,0.57,0.0,0.15,0.4,0.0,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e,70.0,155.0,72.0,1997-04-11,12.0,0.8333333333333334
Alexander Hernandez,18-8-0,18.0,8.0,0.0,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992",4.31,0.0,4.5,0.59,0.0,0.36,0.73,0.0,http://ufcstats.com/fighter-details/262a7d06203657e6,69.0,155.0,72.0,1992-10-01,26.0,0.6923076923076923
Rei Tsuruya,10-1-0,10.0,1.0,0.0,"5' 6""",125 lbs.,"68""",Orthodox,"Jun 22, 2002",2.24,0.0,2.01,0.42,0.0,0.37,0.5,0.0,http://ufcstats.com/fighter-details/2f43a3e82661fa99,66.0,125.0,68.0,2002-06-22,11.0,0.9090909090909091
Karine Silva,19-5-0,19.0,5.0,0.0,"5' 5""",125 lbs.,"67""",Orthodox,"Dec 02, 1993",2.73,0.0,2.89,0.51,0.0,0.47,0.11,0.0,http://ufcstats.com/fighter-details/9d62c2d8ee151f08,65.0,125.0,67.0,1993-12-02,24.0,0.7916666666666666
Jonathan Micallef,8-1-0,8.0,1.0,0.0,"6' 0""",170 lbs.,"77""",Southpaw,"Mar 05, 1999",4.77,0.0,4.0,0.58,0.0,0.5,0.5,0.0,http://ufcstats.com/fighter-details/f782f953bfe7b5f2,72.0,170.0,77.0,1999-03-05,9.0,0.8888888888888888
Terrance McKinney,17-7-0,17.0,7.0,0.0,"5' 10""",155 lbs.,"73""",Switch,"Sep 15, 1994",5.78,0.0,2.58,0.47,0.0,0.4,0.77,0.0,http://ufcstats.com/fighter-details/809bd1a871491508,70.0,155.0,73.0,1994-09-15,24.0,0.7083333333333334
Mitch Raposo,10-3-0,10.0,3.0,0.0,"5' 5""",125 lbs.,"64""",Switch,"Oct 16, 1998",1.73,0.0,2.65,0.61,0.0,0.37,0.61,0.0,http://ufcstats.com/fighter-details/0be6776db31d98ec,65.0,125.0,64.0,1998-10-16,13.0,0.7692307692307693
Dooho Choi,16-4-1,16.0,4.0,1.0,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991",4.67,0.0,4.02,0.56,0.0,0.53,0.47,0.0,http://ufcstats.com/fighter-details/e93b04e308913c2e,70.0,145.0,70.0,1991-04-10,21.0,0.7619047619047619
Julius Walker,7-1-0,7.0,1.0,0.0,"6' 4""",205 lbs.,"78""",Orthodox,"Jul 16, 1999",4.33,0.0,3.53,0.43,0.0,0.36,0.1,0.0,http://ufcstats.com/fighter-details/6add18754930182b,76.0,205.0,78.0,1999-07-16,8.0,0.875
Sean O'Malley,18-3-0 (1 NC),18.0,3.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b50a426a33da0012,0.0,0.0,0.0,,21.0,0.8571428571428571
Daniel Zellhuber,15-3-0,15.0,3.0,0.0,"6' 1""",155 lbs.,"77""",Switch,"Jul 07, 1999",5.83,0.0,5.91,0.56,0.0,0.25,0.94,0.0,http://ufcstats.com/fighter-details/4148802ae4a50768,73.0,155.0,77.0,1999-07-07,18.0,0.8333333333333334
Maheshate,10-5-0,10.0,5.0,0.0,"6' 0""",155 lbs.,"71""",Orthodox,"Dec 01, 1999",3.96,0.0,5.96,0.51,0.0,0.0,0.47,0.0,http://ufcstats.com/fighter-details/8c1ca54b5089d199,72.0,155.0,71.0,1999-12-01,15.0,0.6666666666666666
Miesha Tate,20-10-0,20.0,10.0,0.0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 18, 1986",2.62,0.0,3.05,0.51,0.0,0.3,0.56,0.0,http://ufcstats.com/fighter-details/b96619b3acd7d9da,66.0,135.0,65.0,1986-08-18,30.0,0.6666666666666666
Manon Fiorot,13-2-0,13.0,2.0,0.0,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 17, 1990",5.66,0.0,3.58,0.66,0.0,0.29,0.87,0.0,http://ufcstats.com/fighter-details/34ff304266360297,67.0,125.0,65.0,1990-02-17,15.0,0.8666666666666667
Ryan Loder,8-3-0,8.0,3.0,0.0,"6' 2""",185 lbs.,"76""",Southpaw,"Jun 05, 1991",5.1,0.0,2.46,0.5,0.0,0.14,0.1,0.0,http://ufcstats.com/fighter-details/d5bab53a1a603aac,74.0,185.0,76.0,1991-06-05,11.0,0.7272727272727273
Colby Covington,17-5-0,17.0,5.0,0.0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",3.81,0.0,3.09,0.54,0.0,0.42,0.68,0.0,http://ufcstats.com/fighter-details/dc9572dd6ec74859,71.0,170.0,72.0,1988-02-22,22.0,0.7727272727272727
Max Gimenis,6-2-0,6.0,2.0,0.0,"6' 2""",256 lbs.,"75""",Orthodox,"Apr 14, 1993",3.21,0.0,9.64,0.47,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6a311920edd73c85,74.0,256.0,75.0,1993-04-14,8.0,0.75
Gerald Meerschaert,37-21-0,37.0,21.0,0.0,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",3.01,0.0,3.52,0.53,0.0,0.3,0.42,0.0,http://ufcstats.com/fighter-details/6ac9bc2953c47345,73.0,185.0,77.0,1987-12-18,58.0,0.6379310344827587
Jared Cannonier,18-9-0,18.0,9.0,0.0,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",4.42,0.0,4.35,0.56,0.0,0.4,0.64,0.0,http://ufcstats.com/fighter-details/13a0275fa13c4d26,71.0,185.0,77.0,1984-03-16,27.0,0.6666666666666666
Rolando Bedoya,14-5-0,14.0,5.0,0.0,"5' 11""",155 lbs.,"74""",Orthodox,"Jan 13, 1997",6.23,0.0,5.5,0.52,0.0,0.0,0.75,0.0,http://ufcstats.com/fighter-details/40a456a25d52ee65,71.0,155.0,74.0,1997-01-13,19.0,0.7368421052631579
Don'Tale Mayes,11-9-0 (1 NC),11.0,9.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1a9480fc288e55d7,0.0,0.0,0.0,,20.0,0.55
Alexandr Romanov,18-3-0,18.0,3.0,0.0,"6' 2""",262 lbs.,"75""",Southpaw,"Dec 11, 1990",3.78,0.0,2.13,0.54,0.0,0.55,0.28,0.0,http://ufcstats.com/fighter-details/c0badf3243907e59,74.0,262.0,75.0,1990-12-11,21.0,0.8571428571428571
Joaquin Buckley,21-7-0,21.0,7.0,0.0,"5' 10""",170 lbs.,"76""",Southpaw,"Apr 27, 1994",3.88,0.0,2.93,0.59,0.0,0.45,0.72,0.0,http://ufcstats.com/fighter-details/b9437600497350f3,70.0,170.0,76.0,1994-04-27,28.0,0.75
Mitch Ramirez,8-3-0,8.0,3.0,0.0,"5' 11""",155 lbs.,"71""",Orthodox,"Nov 03, 1992",3.51,0.0,3.98,0.37,0.0,0.33,0.25,0.0,http://ufcstats.com/fighter-details/e99eb0ef25885de5,71.0,155.0,71.0,1992-11-03,11.0,0.7272727272727273
Abdul Rakhman Yakhyaev,8-0-0,8.0,0.0,0.0,"6' 2""",205 lbs.,"78""",Orthodox,"Jan 03, 2001",20.95,0.0,0.95,0.75,0.0,0.1,0.1,0.0,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,74.0,205.0,78.0,2001-01-03,8.0,1.0
Elizeu Zaleski dos Santos,25-10-1,25.0,10.0,1.0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",4.16,0.0,3.56,0.55,0.0,0.2,0.67,0.0,http://ufcstats.com/fighter-details/8adcbd525fab8d9b,71.0,170.0,73.0,1986-12-11,36.0,0.6944444444444444
Alonzo Menifield,17-6-1,17.0,6.0,1.0,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",3.77,0.0,3.81,0.5,0.0,0.31,0.78,0.0,http://ufcstats.com/fighter-details/a495f599e787614f,72.0,205.0,76.0,1987-10-18,24.0,0.7083333333333334
Martin Buday,16-2-0,16.0,2.0,0.0,"6' 4""",265 lbs.,"77""",Orthodox,"Nov 11, 1991",4.39,0.0,4.49,0.55,0.0,0.2,0.93,0.0,http://ufcstats.com/fighter-details/8eb046f83e82bf26,76.0,265.0,77.0,1991-11-11,18.0,0.8888888888888888
Fares Ziam,17-4-0,17.0,4.0,0.0,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 21, 1997",2.85,0.0,1.62,0.64,0.0,0.4,0.7,0.0,http://ufcstats.com/fighter-details/1e4f273069fb9e85,73.0,155.0,75.0,1997-03-21,21.0,0.8095238095238095
Ketlen Souza,15-6-0,15.0,6.0,0.0,"5' 3""",115 lbs.,"63""",Orthodox,"Aug 18, 1994",4.56,0.0,4.4,0.53,0.0,0.14,0.5,0.0,http://ufcstats.com/fighter-details/8bd4200561c77a62,63.0,115.0,63.0,1994-08-18,21.0,0.7142857142857143
Melissa Croden,7-2-0,7.0,2.0,0.0,"5' 9""",135 lbs.,"68""",Orthodox,"Apr 12, 1991",6.81,0.0,2.89,0.54,0.0,0.66,0.75,0.0,http://ufcstats.com/fighter-details/51e2f44a8dbf6984,69.0,135.0,68.0,1991-04-12,9.0,0.7777777777777778
James Llontop,14-5-0,14.0,5.0,0.0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 02, 1999",5.57,0.0,4.12,0.57,0.0,0.0,0.54,0.0,http://ufcstats.com/fighter-details/93b2b7caa457cbea,72.0,155.0,73.0,1999-08-02,19.0,0.7368421052631579
Julia Avila,9-4-0,9.0,4.0,0.0,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",2.81,0.0,3.28,0.55,0.0,0.37,0.52,0.0,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7,67.0,135.0,68.0,1988-05-11,13.0,0.6923076923076923
Vicente Luque,23-12-1,23.0,12.0,1.0,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",4.83,0.0,5.3,0.51,0.0,0.48,0.6,0.0,http://ufcstats.com/fighter-details/6d4b63c767106d3a,71.0,170.0,75.0,1991-11-27,36.0,0.6388888888888888
Magomed Ankalaev,21-2-1 (1 NC),21.0,2.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,0.0,0.0,0.0,,23.0,0.9130434782608695
Morgan Charriere,21-11-1,21.0,11.0,1.0,"5' 8""",145 lbs.,"69""",Orthodox,"Oct 26, 1995",4.08,0.0,4.54,0.53,0.0,0.46,0.83,0.0,http://ufcstats.com/fighter-details/5b03b61f9d90125e,68.0,145.0,69.0,1995-10-26,33.0,0.6363636363636364
Francisco Prado,12-4-0,12.0,4.0,0.0,"5' 10""",170 lbs.,"69""",Orthodox,"Jun 16, 2002",4.09,0.0,4.95,0.54,0.0,0.19,0.5,0.0,http://ufcstats.com/fighter-details/3920d0cc288f9b0d,70.0,170.0,69.0,2002-06-16,16.0,0.75
Elisha Ellison,5-2-0,5.0,2.0,0.0,"6' 0""",238 lbs.,"78""",Orthodox,"Mar 05, 1997",1.57,0.0,15.13,0.4,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/87e4a3a5080ee7ce,72.0,238.0,78.0,1997-03-05,7.0,0.7142857142857143
Daniel Frunza,9-4-0,9.0,4.0,0.0,"6' 1""",170 lbs.,"73""",Orthodox,"Apr 13, 1994",3.25,0.0,4.32,0.5,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/7cec3c4a5e7b6d68,73.0,170.0,73.0,1994-04-13,13.0,0.6923076923076923
Kyle Daukaus,17-4-0 (1 NC),17.0,4.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/d6c0cdd7e467c440,0.0,0.0,0.0,,21.0,0.8095238095238095
Gunnar Nelson,19-6-1,19.0,6.0,1.0,"5' 11""",170 lbs.,"72""",Switch,"Jul 28, 1988",1.77,0.0,3.06,0.48,0.0,0.52,0.68,0.0,http://ufcstats.com/fighter-details/fd55393021a8c255,71.0,170.0,72.0,1988-07-28,26.0,0.7307692307692307
Drew Dober,28-15-0 (1 NC),28.0,15.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,0.0,0.0,0.0,,43.0,0.6511627906976745
Jesus Aguilar,12-3-0,12.0,3.0,0.0,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",2.65,0.0,1.85,0.62,0.0,0.31,0.48,0.0,http://ufcstats.com/fighter-details/c051c2e12d692b8a,64.0,125.0,62.0,1996-03-13,15.0,0.8
